NAME,TRANSFER-FACTOR,N,T,STATUS,CONFIG,DISTRIBUTION
aggregation0,0.15024220826519594,0,0,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,0,1,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,0,10,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,0,60,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,1,0,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,1,1,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,1,10,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,1,60,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,10,0,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,10,1,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,10,10,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,10,60,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,100,0,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,100,1,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,100,10,SUCCESS,site_conf_2_site,0
aggregation0,0.15024220826519594,100,60,SUCCESS,site_conf_2_site,0
aggregation0,0.1263740107773828,0,0,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,0,1,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,0,10,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,0,60,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,1,0,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,1,1,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,1,10,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,1,60,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,10,0,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,10,1,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,10,10,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,10,60,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,100,0,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,100,1,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,100,10,SUCCESS,site_conf_2_site,1
aggregation0,0.1263740107773828,100,60,SUCCESS,site_conf_2_site,1
aggregation0,0.13264322491542035,0,0,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,0,1,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,0,10,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,0,60,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,1,0,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,1,1,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,1,10,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,1,60,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,10,0,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,10,1,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,10,10,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,10,60,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,100,0,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,100,1,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,100,10,SUCCESS,site_conf_2_site,2
aggregation0,0.13264322491542035,100,60,SUCCESS,site_conf_2_site,2
aggregation0,0.14174857664188664,0,0,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,0,1,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,0,10,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,0,60,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,1,0,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,1,1,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,1,10,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,1,60,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,10,0,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,10,1,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,10,10,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,10,60,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,100,0,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,100,1,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,100,10,SUCCESS,site_conf_2_site,3
aggregation0,0.14174857664188664,100,60,SUCCESS,site_conf_2_site,3
aggregation0,0.13209497697930167,0,0,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,0,1,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,0,10,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,0,60,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,1,0,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,1,1,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,1,10,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,1,60,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,10,0,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,10,1,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,10,10,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,10,60,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,100,0,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,100,1,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,100,10,SUCCESS,site_conf_2_site,4
aggregation0,0.13209497697930167,100,60,SUCCESS,site_conf_2_site,4
aggregation0,0.17982310142253047,0,0,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,0,1,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,0,10,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,0,60,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,1,0,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,1,1,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,1,10,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,1,60,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,10,0,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,10,1,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,10,10,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,10,60,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,100,0,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,100,1,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,100,10,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17982310142253047,100,60,SUCCESS,site_conf_3_site_small,0
aggregation0,0.17643153615567495,0,0,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,0,1,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,0,10,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,0,60,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,1,0,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,1,1,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,1,10,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,1,60,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,10,0,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,10,1,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,10,10,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,10,60,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,100,0,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,100,1,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,100,10,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17643153615567495,100,60,SUCCESS,site_conf_3_site_small,1
aggregation0,0.17435586653883195,0,0,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,0,1,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,0,10,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,0,60,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,1,0,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,1,1,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,1,10,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,1,60,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,10,0,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,10,1,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,10,10,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,10,60,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,100,0,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,100,1,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,100,10,SUCCESS,site_conf_3_site_small,2
aggregation0,0.17435586653883195,100,60,SUCCESS,site_conf_3_site_small,2
aggregation0,0.18711689906413287,0,0,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,0,1,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,0,10,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,0,60,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,1,0,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,1,1,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,1,10,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,1,60,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,10,0,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,10,1,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,10,10,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,10,60,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,100,0,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,100,1,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,100,10,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18711689906413287,100,60,SUCCESS,site_conf_3_site_small,3
aggregation0,0.18698209724447432,0,0,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,0,1,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,0,10,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,0,60,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,1,0,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,1,1,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,1,10,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,1,60,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,10,0,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,10,1,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,10,10,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,10,60,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,100,0,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,100,1,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,100,10,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18698209724447432,100,60,SUCCESS,site_conf_3_site_small,4
aggregation0,0.18414537522825844,0,0,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,0,1,SUCCESS,site_conf_3_site_large,0
aggregation0,0.18414537522825844,0,10,SUCCESS,site_conf_3_site_large,0
